iter	Passed	Remaining
0	10	10114
1	18	9465
2	27	9062
3	36	9210
4	46	9208
5	56	9309
6	66	9371
7	75	9363
8	83	9243
9	92	9162
10	101	9139
11	110	9059
12	118	8965
13	126	8912
14	132	8726
15	141	8696
16	149	8664
17	158	8634
18	167	8629
19	176	8643
20	184	8611
21	193	8584
22	201	8563
23	210	8544
24	218	8539
25	227	8514
26	235	8503
27	245	8509
28	253	8491
29	262	8475
30	270	8458
31	279	8450
32	288	8440
33	296	8426
34	305	8410
35	314	8420
36	323	8410
37	331	8391
38	339	8376
39	346	8323
40	355	8309
41	363	8290
42	370	8244
43	379	8240
44	387	8225
45	395	8207
46	404	8197
47	411	8161
48	419	8147
49	428	8135
50	436	8125
51	445	8119
52	450	8044
53	459	8042
54	467	8031
55	472	7966
56	480	7952
57	488	7938
58	497	7931
59	505	7924
60	514	7925
61	523	7925
62	532	7920
63	541	7920
64	549	7908
65	557	7895
66	566	7885
67	574	7878
68	583	7867
69	591	7861
70	601	7864
71	610	7862
72	618	7851
73	626	7839
74	634	7830
75	643	7821
76	651	7811
77	659	7798
78	668	7789
79	676	7779
80	684	7764
81	692	7757
82	700	7744
83	709	7735
84	717	7720
85	725	7711
86	732	7690
87	741	7682
88	749	7673
89	757	7663
90	766	7653
91	774	7647
92	783	7641
93	792	7639
94	801	7635
95	810	7633
96	818	7622
97	827	7613
98	835	7603
99	843	7593
100	852	7585
101	860	7573
102	868	7562
103	876	7553
104	885	7545
105	894	7541
106	903	7538
107	909	7512
108	917	7503
109	926	7497
110	934	7487
111	943	7479
112	951	7470
113	960	7461
114	968	7450
115	976	7440
116	984	7433
117	992	7422
118	1001	7414
119	1009	7405
120	1019	7402
121	1027	7393
122	1035	7385
123	1043	7374
124	1052	7366
125	1060	7356
126	1068	7348
127	1077	7340
128	1086	7333
129	1094	7323
130	1102	7314
131	1110	7303
132	1116	7277
133	1124	7268
134	1132	7259
135	1141	7250
136	1149	7243
137	1158	7234
138	1166	7225
139	1174	7217
140	1183	7211
141	1191	7201
142	1199	7191
143	1208	7182
144	1212	7152
145	1221	7145
146	1230	7139
147	1238	7130
148	1246	7121
149	1254	7111
150	1263	7103
151	1271	7094
152	1280	7087
153	1288	7079
154	1297	7070
155	1305	7062
156	1313	7052
157	1321	7043
158	1329	7033
159	1338	7024
160	1346	7014
161	1354	7006
162	1362	6998
163	1371	6990
164	1379	6982
165	1388	6974
166	1396	6965
167	1404	6954
168	1412	6946
169	1421	6939
170	1429	6930
171	1437	6921
172	1446	6916
173	1455	6908
174	1463	6900
175	1472	6892
176	1481	6887
177	1489	6878
178	1498	6870
179	1507	6865
180	1515	6857
181	1524	6853
182	1533	6845
183	1541	6837
184	1550	6830
185	1558	6822
186	1567	6815
187	1576	6808
188	1585	6803
189	1593	6795
190	1602	6785
191	1610	6778
192	1618	6769
193	1627	6760
194	1635	6750
195	1643	6742
196	1651	6732
197	1661	6728
198	1669	6720
199	1678	6712
200	1686	6703
201	1695	6697
202	1703	6688
203	1711	6680
204	1720	6673
205	1728	6663
206	1737	6654
207	1746	6648
208	1754	6640
209	1763	6633
210	1772	6626
211	1780	6618
212	1789	6610
213	1797	6602
214	1805	6593
215	1814	6585
216	1822	6577
217	1831	6568
218	1839	6559
219	1847	6551
220	1856	6544
221	1865	6536
222	1873	6528
223	1882	6519
224	1890	6511
225	1899	6505
226	1907	6496
227	1915	6486
228	1923	6477
229	1932	6468
230	1941	6462
231	1949	6454
232	1958	6447
233	1966	6438
234	1975	6430
235	1983	6421
236	1992	6413
237	2000	6406
238	2009	6398
239	2017	6390
240	2026	6381
241	2034	6373
242	2043	6365
243	2051	6356
244	2059	6347
